iso3,AUS,BRA,CAN,CHN,DEU,EGY,FRA,GBR,IDN,IND,PHL,RUS,TUR,USA
,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin,tasmin
1960,14.75,20.05,-11.45,0.15,4.7,16.9,6.25,5.25,21.0,19.45,21.15,-12.2,6.25,0.55
1961,15.85,20.45,-12.6,1.25,6.25,15.05,7.3,5.1,20.95,19.5,20.95,-11.45,5.6,-0.65
1962,14.55,19.9,-11.45,0.3,4.4,16.4,5.8,3.65,20.95,19.25,21.05,-10.5,6.05,1.2
1963,14.8,20.4,-10.35,0.5,4.55,16.7,6.35,4.35,20.85,19.45,20.75,-11.25,5.85,1.35
1964,14.7,19.7,-12.65,1.8,4.1,15.4,5.4,4.1,20.75,20.1,21.2,-12.8,4.3,0.0
1965,14.9,20.05,-12.05,0.9,3.45,14.5,6.05,4.4,20.75,19.4,20.95,-11.4,3.8,0.35
1966,14.5,20.4,-12.7,0.75,6.15,16.6,7.15,4.0,21.05,19.65,21.25,-12.7,6.75,-0.5
1967,15.75,20.25,-12.7,0.7,4.85,15.2,5.65,4.15,20.8,19.0,20.85,-8.55,5.0,0.6
1968,15.0,19.85,-10.6,0.3,5.1,15.4,5.9,3.85,20.9,19.0,20.45,-11.05,6.35,0.1
1969,15.0,20.25,-11.25,1.05,4.45,15.55,6.2,3.95,21.1,20.05,21.0,-11.95,4.6,1.15
1970,15.05,20.35,-11.85,0.4,4.55,15.2,5.7,4.85,21.05,20.15,21.35,-11.55,5.6,-0.4
1971,15.0,19.4,-10.85,0.9,3.95,14.25,6.05,4.6,20.8,19.65,20.65,-11.45,4.2,0.25
1972,14.6,19.85,-14.25,0.5,3.15,16.45,5.4,4.75,20.75,19.35,20.9,-10.0,6.75,-0.2
1973,15.85,20.25,-10.85,1.25,2.6,15.45,4.35,3.45,21.1,20.2,21.2,-11.2,5.6,0.7
1974,15.0,19.6,-13.5,1.1,3.0,16.45,4.4,4.05,20.7,20.35,21.4,-11.45,5.7,0.15
1975,14.55,19.7,-11.7,1.8,3.95,16.2,5.25,3.95,20.75,20.2,21.0,-9.95,5.75,-0.45
1976,14.25,19.7,-11.1,0.55,4.6,16.45,5.95,4.75,20.55,19.6,21.0,-12.25,5.75,-0.4
1977,15.05,20.05,-10.6,1.6,4.6,14.5,5.85,3.8,20.9,19.95,21.5,-11.7,3.9,0.65
1978,14.5,19.95,-13.1,1.05,4.1,16.45,5.2,5.15,20.9,19.95,21.25,-10.35,5.7,0.6
1979,15.0,20.05,-11.7,1.1,3.75,16.95,5.8,3.6,20.95,20.45,21.2,-12.85,5.75,1.2
1980,15.65,20.2,-10.45,0.8,3.4,16.0,5.2,4.0,20.95,20.7,21.5,-11.1,4.95,0.55
1981,15.45,19.85,-11.05,1.25,4.3,16.85,6.6,3.5,21.05,19.95,21.15,-9.75,5.0,1.35
1982,14.5,19.95,-12.7,1.7,5.15,16.1,6.5,4.4,21.0,19.9,21.05,-10.75,5.7,-0.8
1983,15.5,20.2,-11.6,1.45,5.2,14.25,6.0,4.7,21.2,19.2,21.5,-10.55,5.1,0.3
1984,15.1,20.15,-10.9,1.0,4.7,15.8,6.1,4.35,20.7,19.9,21.3,-12.1,4.75,0.4
1985,15.15,20.2,-12.45,1.5,4.5,14.95,6.2,4.6,21.15,19.75,21.25,-10.25,5.1,0.15
1986,15.0,20.3,-12.5,0.6,4.55,15.65,6.55,4.7,21.05,19.9,21.5,-9.95,5.75,0.45
1987,15.3,20.9,-10.8,1.45,4.95,14.45,6.1,4.65,21.4,20.25,21.7,-11.55,4.45,0.35
1988,16.45,20.4,-10.1,1.5,4.95,15.45,7.2,5.15,21.25,20.05,21.65,-10.25,5.4,0.05
1989,15.85,20.1,-11.45,1.85,5.3,16.55,6.4,4.75,21.05,19.7,21.35,-10.85,6.25,0.95
1990,15.6,20.85,-11.85,1.45,4.9,16.45,7.0,5.0,21.3,19.7,21.35,-9.0,5.4,0.9
1991,15.7,20.2,-11.7,1.15,3.85,17.0,6.05,4.6,21.3,19.6,21.35,-9.3,6.15,1.1
1992,15.7,20.1,-12.25,1.1,3.65,15.55,5.95,3.65,21.3,19.9,21.3,-11.9,5.45,0.2
1993,15.45,20.45,-11.1,0.95,5.3,16.45,6.65,4.45,21.25,19.95,21.55,-11.0,5.3,1.0
1994,14.95,20.5,-10.5,1.45,4.35,17.25,7.65,5.5,21.35,19.45,21.55,-9.25,7.45,1.1
1995,14.8,20.35,-10.5,1.5,6.0,15.4,7.0,4.8,21.4,20.0,21.7,-8.6,4.75,0.95
1996,15.3,20.4,-11.9,1.1,4.75,15.05,6.45,3.7,21.35,19.85,21.7,-10.65,4.85,-0.25
1997,15.05,20.5,-11.95,1.25,3.25,15.15,6.6,5.4,21.35,18.85,21.6,-7.65,4.9,-0.45
1998,16.0,20.75,-9.05,3.05,5.5,17.4,6.75,4.9,21.6,20.7,22.25,-12.05,6.5,1.5
1999,15.1,20.3,-10.55,2.2,5.25,16.4,7.15,5.45,21.3,20.7,21.8,-10.3,6.3,0.4
2000,15.45,20.6,-11.5,1.65,6.6,16.05,7.25,4.65,21.35,20.95,21.9,-9.35,6.4,0.85
2001,14.45,20.8,-11.15,2.0,5.9,16.4,7.45,5.3,21.4,20.3,21.9,-10.3,6.0,0.85
2002,15.55,21.2,-12.25,1.7,4.2,16.5,7.15,5.45,21.45,20.75,21.65,-10.2,6.0,1.05
2003,15.15,20.7,-10.4,1.95,3.2,16.75,6.15,4.7,21.4,20.45,21.45,-9.25,5.95,1.9
2004,15.95,20.85,-11.4,2.0,5.5,16.55,6.75,5.55,21.45,20.35,21.6,-10.55,5.85,2.15
2005,16.6,21.05,-9.4,2.2,5.9,16.2,7.45,4.9,21.35,19.95,21.75,-8.8,5.45,1.45
2006,15.35,20.7,-9.75,2.4,6.3,16.3,7.5,5.45,21.35,20.35,21.8,-11.45,7.1,1.5
2007,15.55,21.1,-10.1,2.2,5.55,16.7,7.15,5.8,21.5,20.65,21.9,-7.3,5.55,1.75
2008,15.05,20.65,-10.7,2.5,4.65,16.5,6.1,4.6,21.2,20.25,21.6,-8.85,7.1,0.05
2009,15.1,20.7,-11.3,2.8,5.75,16.65,7.4,5.65,21.45,20.55,21.7,-8.7,6.1,0.7
2010,15.6,20.85,-8.05,1.3,4.2,17.65,6.4,4.15,21.65,21.2,21.5,-9.4,6.65,1.75
2011,15.05,20.7,-11.3,2.3,5.9,15.9,7.9,6.35,21.45,20.2,22.0,-7.1,5.15,1.35
2012,15.0,20.9,-10.8,1.9,4.65,17.55,6.95,4.35,21.6,20.1,21.9,-8.25,7.5,1.5
2013,15.7,20.75,-10.95,1.8,5.65,15.55,6.15,4.15,21.7,20.3,21.7,-8.95,5.2,0.45
2014,16.3,21.05,-11.3,2.7,7.0,17.0,7.75,6.25,21.65,20.25,21.8,-8.7,6.55,1.55
2015,15.8,21.2,-10.95,2.25,5.05,16.7,6.9,5.55,21.6,20.3,22.05,-8.95,6.0,2.65
2016,15.5,21.35,-11.0,2.65,4.6,18.05,6.1,4.75,21.8,20.9,22.55,-8.3,6.65,2.8
2017,15.65,21.1,-11.0,2.4,5.45,16.2,7.2,5.55,21.7,21.15,22.05,-8.4,5.25,2.35
2018,16.5,21.05,-13.0,2.05,6.55,17.2,8.15,5.4,21.45,20.6,22.1,-7.35,7.35,1.25
2019,16.1,21.3,-11.15,2.75,5.35,16.65,6.5,4.7,21.75,20.6,22.5,-7.85,6.55,1.65
2020,16.25,21.25,-12.35,1.7,5.8,16.55,7.65,5.65,21.65,20.5,22.45,-7.0,6.55,0.9
