,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas,tas
iso3,AUS,BRA,CAN,CHN,DEU,EGY,FRA,GBR,IDN,IND,PHL,RUS,TUR,USA
1960,21.95,25.25,-7.05,6.7,8.45,24.65,10.35,8.7,25.7,25.45,25.4,-7.15,12.1,7.1
1961,23.0,25.5,-8.1,7.9,10.7,22.55,12.05,9.0,25.75,25.2,25.2,-6.55,11.95,5.85
1962,21.8,25.45,-6.9,7.05,8.85,23.5,10.3,7.65,25.5,24.9,25.15,-5.45,11.85,7.65
1963,21.85,25.5,-5.55,6.95,8.6,24.35,10.45,8.05,25.65,25.5,25.25,-6.35,11.15,8.05
1964,21.45,25.25,-8.0,7.9,8.1,23.05,9.6,7.75,25.55,25.4,25.45,-7.85,11.25,6.7
1965,22.3,25.15,-7.5,7.4,7.9,22.15,10.35,8.35,25.5,25.6,25.4,-6.4,9.25,6.9
1966,21.5,25.45,-8.4,7.05,10.0,24.2,11.65,7.4,25.75,25.45,25.4,-7.7,12.7,6.1
1967,23.1,25.4,-8.2,7.2,9.15,22.75,10.6,7.9,25.55,25.1,25.1,-3.45,10.85,6.95
1968,22.3,25.0,-6.3,6.85,10.0,23.0,10.75,7.6,25.7,25.35,25.25,-6.0,12.3,6.65
1969,22.4,25.6,-6.8,7.55,8.9,22.95,10.95,7.95,25.8,25.7,25.5,-7.25,10.1,7.35
1970,22.3,25.5,-7.35,7.1,7.5,22.75,9.75,7.95,25.85,25.5,25.5,-6.9,11.95,5.75
1971,22.0,24.9,-6.45,7.55,9.05,21.85,11.3,8.55,25.55,25.1,25.05,-6.35,10.05,6.6
1972,22.15,25.25,-9.55,7.0,7.4,23.9,9.75,8.45,25.7,25.35,25.45,-5.25,12.55,6.0
1973,22.65,25.45,-6.6,7.55,6.6,23.15,8.95,7.1,26.0,25.25,25.4,-6.25,11.4,6.9
1974,21.3,24.8,-8.8,7.7,7.1,24.45,8.5,7.05,25.6,25.75,25.4,-6.35,11.5,6.8
1975,21.1,25.05,-7.3,8.0,7.5,23.6,9.55,7.9,25.6,25.3,25.3,-5.05,11.95,5.8
1976,21.15,24.65,-6.6,6.95,8.55,23.95,10.3,8.25,25.45,25.45,25.2,-7.3,11.15,6.25
1977,22.3,25.35,-5.75,7.9,8.5,21.95,10.15,7.7,25.6,25.65,25.5,-6.75,10.1,7.4
1978,21.8,25.15,-8.55,7.75,8.15,23.95,9.6,8.9,25.65,25.55,25.35,-5.8,11.4,7.25
1979,22.2,25.0,-7.4,7.7,7.85,24.4,10.25,7.4,25.75,25.95,25.7,-8.15,11.5,7.5
1980,22.65,25.35,-5.95,7.1,7.3,23.5,9.5,7.8,25.8,25.8,25.65,-6.4,10.95,7.2
1981,22.95,25.1,-7.3,7.45,8.3,24.5,10.65,6.8,25.95,25.7,25.3,-5.05,10.9,7.55
1982,21.9,25.15,-8.2,8.05,8.45,23.9,10.35,8.4,25.75,25.85,25.4,-6.05,11.35,5.55
1983,21.85,25.4,-7.2,7.55,9.25,21.7,10.25,7.7,25.95,25.35,25.85,-5.95,11.05,6.25
1984,22.05,25.1,-6.4,7.35,9.0,23.35,9.85,8.1,25.55,25.1,25.6,-7.35,10.9,6.25
1985,21.9,25.3,-8.1,7.95,8.7,22.35,11.1,8.45,25.85,25.9,25.65,-5.8,10.85,6.5
1986,21.9,25.35,-7.9,6.8,8.35,23.35,10.45,8.05,25.85,25.55,25.6,-5.25,12.1,6.8
1987,22.5,25.7,-6.25,7.65,9.6,21.9,11.0,8.5,26.15,26.2,26.05,-6.95,9.9,7.5
1988,23.45,25.65,-5.7,7.85,9.25,22.95,11.5,8.2,26.0,25.65,26.1,-5.45,10.75,6.85
1989,22.45,25.25,-6.8,8.0,9.3,24.05,11.15,8.3,25.8,25.6,25.65,-6.0,12.5,7.7
1990,22.4,25.75,-7.45,7.6,9.35,24.05,11.1,8.8,26.05,25.25,25.7,-4.25,11.45,7.6
1991,23.15,25.45,-7.25,7.4,8.15,24.6,9.9,8.0,25.95,25.5,25.7,-4.35,11.65,7.6
1992,22.3,25.3,-7.85,7.6,7.6,23.25,9.55,7.1,26.0,25.3,25.75,-7.15,11.4,6.9
1993,22.45,25.3,-6.7,7.35,9.45,24.4,10.4,7.7,25.95,25.65,25.75,-6.15,11.3,7.25
1994,22.45,25.4,-6.15,7.75,8.3,25.15,11.1,8.95,26.0,25.55,25.65,-4.5,13.5,7.4
1995,21.75,25.8,-6.25,7.55,10.45,23.0,11.7,8.95,26.0,26.0,25.65,-3.85,10.45,7.3
1996,22.25,25.4,-7.65,7.25,9.3,22.65,11.05,7.75,26.05,25.6,25.8,-5.95,10.1,6.3
1997,22.45,25.6,-7.65,7.7,7.5,22.7,11.3,8.65,26.2,25.2,25.85,-2.9,10.15,5.85
1998,22.6,26.05,-4.55,9.45,9.05,24.7,10.4,7.9,26.4,26.15,26.15,-7.05,12.85,7.7
1999,21.95,25.75,-6.25,8.35,9.4,23.7,11.25,9.0,26.0,25.85,25.7,-5.55,12.3,6.8
2000,21.8,25.4,-7.0,7.7,10.8,23.5,11.2,7.95,26.1,26.15,25.8,-4.7,12.1,7.25
2001,21.55,25.85,-6.8,8.2,9.85,23.75,11.5,9.0,26.05,26.2,25.85,-5.6,12.25,7.15
2002,23.35,26.0,-8.15,7.85,8.45,23.9,11.4,8.4,26.2,25.9,25.75,-5.55,11.55,7.0
2003,22.25,25.85,-5.95,8.15,7.55,24.15,10.65,8.45,26.1,25.7,25.55,-4.7,11.7,8.25
2004,23.35,26.0,-6.9,8.5,10.05,23.85,11.6,8.8,26.1,26.25,25.8,-6.0,12.05,8.1
2005,23.75,25.95,-5.1,8.45,10.6,23.5,12.35,8.85,26.1,25.75,25.85,-4.0,11.3,7.65
2006,22.3,25.8,-5.35,8.6,10.55,23.65,12.25,8.9,26.05,26.05,25.75,-6.95,12.5,7.7
2007,23.0,26.15,-5.75,8.3,10.3,24.1,12.2,10.05,26.0,25.95,25.7,-2.75,11.5,7.85
2008,22.45,25.6,-6.2,8.7,8.85,24.0,10.5,7.85,25.95,25.95,25.7,-4.25,13.1,6.5
2009,22.35,25.9,-7.25,9.15,10.35,24.6,11.85,9.5,26.3,26.2,25.7,-4.05,12.3,6.5
2010,22.2,26.2,-3.75,7.25,8.9,25.6,11.25,8.6,26.3,26.35,25.85,-4.75,12.1,8.25
2011,22.05,25.75,-6.95,8.6,11.0,23.35,13.1,10.25,26.05,26.05,25.9,-2.6,10.6,7.6
2012,22.55,25.75,-6.6,8.25,9.0,25.1,11.15,7.95,26.2,25.65,25.75,-3.8,13.8,7.85
2013,23.35,26.0,-6.7,8.1,9.9,23.05,10.55,7.85,26.3,25.85,25.75,-4.35,11.6,6.65
2014,23.6,25.95,-7.05,8.9,11.75,24.5,12.65,10.0,26.35,25.95,25.95,-4.05,12.45,8.0
2015,22.9,26.15,-6.45,8.55,8.95,24.15,11.45,8.8,26.3,26.45,26.1,-4.45,11.75,8.8
2016,22.85,26.45,-7.05,8.55,8.6,25.5,10.6,8.05,26.4,26.1,26.3,-3.9,13.4,9.2
2017,22.85,26.25,-6.6,8.5,9.75,23.65,11.9,9.4,26.2,26.55,26.0,-4.05,11.55,8.7
2018,23.95,26.05,-8.4,8.4,11.8,24.65,12.9,8.95,26.25,25.95,26.15,-2.7,13.8,7.3
2019,23.55,26.35,-6.85,9.05,10.6,24.15,11.6,8.8,26.4,25.85,26.1,-3.25,12.55,7.75
2020,23.3,26.55,-7.95,8.05,10.75,24.3,12.25,9.1,26.45,26.45,26.3,-2.4,12.85,7.4
